,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
1115,Available in consultation,3850000,9189,2 baths and shower,Resale,,4,"Electricity, heating and running water",Back garden,,CH boiler,,,3 ,419,,2 bathrooms and 2 separate toilets,"7  ,5 ",3,,,Available,,,1870,1880,https://www.funda.nl/en/koop/amsterdam/appartement-42540940-keizersgracht-131-d-e,Yes,,Yes,,,Grou ,Yes,Yes,,Yes,Yes,Built-in,Ground-floor apartment (apartment),,," 1,195  ",Built-in,77 ,Located at the northeast,"131 m² (9 meter deep and 14,5 meter broad)"
1116,Available in consultation,420000,8936,,Resale,C  ,4,Balanced ventilation system and mechanical ventilation,,CH boiler,CH boiler,Partly double glazed and floor insulation,,"March 5, 2022",47,"On navigable waterway, alongside water and freestanding location",1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,,157,1900,https://www.funda.nl/en/koop/amsterdam/appartement-42628854-hobbemakade-76-ii,Yes,Balcony present and french balcony present,Yes,"Intergas (gas-fired combination boiler from 2017, in ownership)",,,Yes,Yes (€ 73.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 73.00  ,,,,1 ,,
1117,Available in consultation,585000,6648,,Resale,C  ,10,TV via cable and solar panels,,CH boiler,CH boiler,,,3 ,88,In residential district and freestanding location,,"4  ,3 ",2,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,290,1922,https://www.funda.nl/en/koop/amsterdam/appartement-42602202-admiraal-de-ruijterweg-377-iii,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2010, in ownership)",9,3 ,No,Yes (€ 100.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 100.00  ,,,,,,
1118,Available in consultation,199500,7125,Shower and toilet,Resale,C  ,,Elevator and TV via cable,,District heating,,Double glazing,,4 ,28,Alongside a quiet road and unobstructed surrounding view,1 bathroom,1 ,1,,,Sold under reservation,Public parking,Flat roof covered with asphalt roofing,97,1966,https://www.funda.nl/en/koop/amsterdam/appartement-88060879-amerbos-62,Yes,Balcony present,Yes,,,5 ,Yes,Yes (€ 138.00 per month),,Yes,Yes,,Galleried apartment (apartment), 138.00  ,,,,,,
1119,Available in consultation,1380000,7624,"Bath, 2 showers and toilet",New,,85,Elevator and mechanical ventilation,Sun terrace,,,Completely insulated,,2 ,181,"Alongside park, alongside water and in residential district",2 bathrooms and 1 separate toilet,"4  ,3 ",1,,,Under option,,,561,2019,https://www.funda.nl/en/koop/amsterdam/appartement-42651330-aan-het-ij-the-twins-bouwnr-1603,,Balcony present,,,,7 ,,,A ,,,,Penthouse,,SWK garantiecertificaat,,Underground parking,,,
1120,Available in consultation,350000,7000,,Resale,D  ,,,,,,,,"March 7, 2022",50,,,"2  ,1 ",1,,,Available,,,165,1986,https://www.funda.nl/en/koop/amsterdam/appartement-42622088-weteringschans-11-b,Yes,,Yes,,,,Yes,Yes (€ 144.00 per month),,Yes,Yes,,Apartment with shared street entrance, 144.00  ,,,,,,
1121,Available in consultation,375000,6579,,Resale,C  ,,Electricity,Back garden,CH boiler,CH boiler,No insulation,,2 ,57,Alongside a quiet road,1 bathroom and 1 separate toilet,"2  ,2 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,204,1977,https://www.funda.nl/en/koop/amsterdam/appartement-42619597-nova-zemblastraat-177,Yes,,Yes,"Intergas (gas-fired combination boiler from 2018, in ownership)",3,Grou ,Yes,No,,Yes,Yes,Built-in,Ground-floor apartment (apartment), 92.06  ,,,,4 ,,
1122,Available in consultation,1545000,13205,Sauna and toilet,Resale,A  ,,Electricity,Back garden,CH boiler,CH boiler,"Double glazing, insulated walls, floor insulation and completely insulated",,4 ,117,Alongside park and alongside a quiet road,1 bathroom and 1 separate toilet,"3  ,1 ",1,,,Sold under reservation,Parking garage,Combination roof covered with asphalt roofing and slate,421,2002,https://www.funda.nl/en/koop/amsterdam/appartement-42500187-pieter-cornelisz-hooftstraat-169-b,Yes,,Yes,"Nefit HR Topline (gas-fired combination boiler from 2013, in ownership)",6,Grou ,Yes,Yes,,Yes,Yes,Storage box,Ground-floor apartment (apartment),,, 626  ,Underground parking,,Located at the south,120 m² (10 meter deep and 12 meter broad)
1123,Available in consultation,445000,6642,Shower and toilet,Resale,D  ,3,TV via cable,,CH boiler,CH boiler,Double glazing,,3 ,67,Alongside a quiet road and in residential district,1 bathroom,"4  ,3 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination roof covered with asphalt roofing and roof tiles,220,1931,https://www.funda.nl/en/koop/amsterdam/appartement-42603406-bonairestraat-30-ii,Yes,Balcony present,Yes,"Intergas Kombi Kompakt HRE 24/18 (gas-fired combination boiler from 2008, in ownership)",,3 ,Yes,Yes (€ 95.81 per month),,Yes,Yes,,Upstairs apartment (apartment), 95.81  ,,,,,,
1124,Available in consultation,500000,6250,Shower,Resale,G  ,7,Passive ventilation system and TV via cable,Back garden,CH boiler,CH boiler,Roof insulation,,2 ,80,Alongside a quiet road,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Under offer,Public parking and resident's parking permits,Gable roof covered with roof tiles,255,1927,https://www.funda.nl/en/koop/amsterdam/appartement-88076027-paramariboplein-31-1,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",10,2 ,No,Yes (€ 100.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 100.00  ,Energie Prestatie Advies,,,,,
1125,Available in consultation,750000,9146,Shower,Resale,A  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing,,"March 4, 2022",82,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,"Paid parking, public parking and resident's parking permits",,303,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42629680-orteliuskade-49-h,Yes,,Yes,"Intergas (gas-fired combination boiler from 2017, in ownership)",5,Grou ,No,Yes (€ 90.00 per month),,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 90.00  ,,,,,Located at the east,"38 m² (6,35 meter deep and 6,04 meter broad)"
1126,Available in consultation,615840,6097,Toilet,New,,16,Optical fibre and mechanical ventilation,Back garden,District heating,District heating,Completely insulated,,4 ,101,,1 bathroom and 1 separate toilet,"4  ,3 ",2,,,Available,Parking on gated property,,338,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42512459-gezinswoningen-bouwnr-189-a1,,,,,4,1 ,,,A ,,,Attached brick storage,Double ground-floor apartment,,Woningborg garantiecertificaat,,Parking place,,Located at the north accessible via the rear,"15 m² (4,5 meter deep and 3,4 meter broad)"
1127,Available in consultation,4400000,10602,Bath and 3 toilets,New,,48,Electricity,,Complete floor heating,Central facility and solar collectors,Completely insulated,,6+ ,415,"Alongside park, on navigable waterway, alongside water, in center, in residential district and unobstructed surrounding view",3 bathrooms and 2 separate toilets,"8  ,4 ",2,,,Available,Parking garage,Flat roof covered with asphalt roofing,1250,2021,https://www.funda.nl/en/koop/amsterdam/appartement-42438163-badhuiskade-351,,Roof terrace present and french balcony present,,,,23 ,,,,,,Built-in,Penthouse (apartment), 646.00  ,SWK garantiecertificaat, 646  ,Garage and underground parking,,,
1128,Available in consultation,365000,7449,Shower,Resale,C  ,33,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,3 ,49,Alongside busy road,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,Paid parking and resident's parking permits,,138,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42601508-bos-en-lommerweg-301-iv,Yes,Roof terrace present,Yes,"Remeha ( combination boiler from 2021, in ownership)",,4 ,Yes,Yes (€ 83.24 per month),,Yes,Yes,,Upstairs apartment (apartment), 83.24  ,,,,,,
1129,Available in consultation,220000,6875,Shower and toilet,Resale,C  ,4,,,CH boiler,CH boiler,Partly double glazed and completely insulated,,2 ,32,In center and in residential district,1 bathroom,"1  ,1 ",4,,,Available,,Flat roof covered with asphalt roofing,105,1983,https://www.funda.nl/en/koop/amsterdam/appartement-42619324-aaf-bouberstraat-86,Yes,Balcony present,Yes,Combination boiler from 2014,2,2 ,Yes,Yes,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment),,, 79  ,,,,
1130,Available in consultation,2575000,9164,"2 baths, 2 showers and 2 toilets",Resale,D 1.99  ,81,TV via cable,,CH boiler,CH boiler,Double glazing,,2 ,281,In residential district,2 bathrooms and 2 separate toilets,"9  ,6 ",3,,,Sold under reservation,Paid parking and resident's parking permits,,1066,,https://www.funda.nl/en/koop/amsterdam/appartement-42610126-de-lairessestraat-60-bv,Yes,Roof terrace present and balcony present,No,Intergas (2017),,,No,Yes,,Yes,Yes,Built-in,Upstairs apartment (apartment),,, 120  ,,,,
1131,Available in consultation,525000,6481,Bath and shower,Resale,E  ,9,,,CH boiler,CH boiler,Floor insulation,,3 ,81,In center,1 bathroom and 1 separate toilet,"3  ,1 ",1,,,Sold under reservation,Paid parking and resident's parking permits,,288,1911,https://www.funda.nl/en/koop/amsterdam/appartement-42602551-admiraal-de-ruijterweg-128-iii,Yes,Balcony present,Yes,Gas-fired from 2017,,4 ,Yes,Yes (€ 113.61 per month),,Yes,Yes,,Upstairs apartment (apartment), 113.61  ,,,,1 ,,
1132,Available in consultation,350000,3500,Bath,Resale,C  ,13,,,District heating,,"Roof insulation, double glazing and insulated walls",,4 ,100,Alongside a quiet road and unobstructed surrounding view,1 bathroom and 1 separate toilet,"5  ,4 ",1,,,Under offer,Public parking,Flat roof covered with asphalt roofing,315,1970,https://www.funda.nl/en/koop/amsterdam/appartement-88063416-grubbehoeve-425,Yes,Balcony present,Yes,,,5 ,Yes,Yes (€ 233.82 per month),,Yes,Yes,Storage box,Galleried apartment (apartment), 233.82  ,,,,,,
1134,Available in consultation,350000,6731,,Resale,A  ,4,Electricity,,CH boiler,CH boiler,Double glazing,,5 ,52,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,161,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42692811-esmoreitstraat-52-ii,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2010, in ownership)",8,3 ,Yes,Yes (€ 89.56 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 89.56  ,,,,,,
1135,Available in consultation,925000,8333,"Bath, shower and toilet",Resale,Not required,,Air conditioning,,,Central facility,,,3 ,111,In center,1 bathroom and 1 separate toilet,"3  ,2 ",2,,Listed building (national monument),Available,Paid parking and resident's parking permits,Gable roof,367,,https://www.funda.nl/en/koop/amsterdam/appartement-42617573-spuistraat-107-iii-iv,No,,Yes,,,,No,No,,Yes,No,,Upstairs apartment (apartment),,,,,,,
1136,Available in consultation,525000,7721,Toilet,Resale,D  ,4,TV via cable,,CH boiler,CH boiler,Double glazing,,"March 3, 2022",68,Alongside a quiet road and in residential district,1 bathroom,"3  ,2 ",1,,,Available,"Paid parking, public parking and resident's parking permits",,218,1922,https://www.funda.nl/en/koop/amsterdam/appartement-42626487-jan-lievensstraat-42-1,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2010, in ownership)",1,2 ,Yes,Yes (€ 50.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 50.00  ,,,,,,
1137,Available in consultation,625000,8224,"Bath, shower and toilet",Resale,E  ,16,Electricity,Back garden,CH boiler,CH boiler,Roof insulation and double glazing,"Single-family home, row house",4 ,76,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"2  ,1 ",2,92,Partly furnished with carpets and curtains and listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Gable roof covered with roof tiles,271,1906,https://www.funda.nl/en/koop/amsterdam/huis-42694189-lutmastraat-222,,Roof terrace present,,"Nefit proline NxT (gas-fired combination boiler from 2021, in ownership)",,,,,,,,Detached wooden storage,,,,,,,Located at the south,40 m² (8 meter deep and 5 meter broad)
1138,Available in consultation,475000,6250,,Resale,E  ,6,TV via cable,,CH boiler,CH boiler,Double glazing,,"March 12, 2022",76,Alongside a quiet road and in residential district,1 separate toilet,"3  ,2 ",2,,,Available,Paid parking and resident's parking permits,,261,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42639621-veeteeltstraat-17-b,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",6,1 ,Yes,Yes (€ 126.73 per month),,Yes,Yes,Storage box,Upstairs apartment (double upstairs apartment), 126.73  ,,,,,,
1139,Available in consultation,440000,9778,Shower,Resale,F  ,4,Electricity and running water,,CH boiler,CH boiler,,,"March 9, 2022",45,"Alongside a quiet road, alongside water, in center and in residential district",1 bathroom and 1 separate toilet,"3  ,2 ",1,,Protected townscape or village view (permit needed for alterations),Available,"Public parking, parking garage and resident's parking permits",Combination roof covered with roof tiles,122,1939,https://www.funda.nl/en/koop/amsterdam/appartement-42623092-lauriergracht-67-3,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2016, in ownership)",12,4 ,Yes,Yes (€ 235.51 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 235.51  ,,,,,,
1140,Available in consultation,1250000,6219,"Bath, shower and toilet",Resale,A  ,34,Electrical door and electricity,Back garden and side garden,District heating and partial floor heating,District heating,Completely insulated,"Desirable residence/villa, double house","March 11, 2022",201,"Alongside a quiet road, on navigable waterway, alongside water and in residential district",2 bathrooms and 2 separate toilets,"6  ,5 ",3,214,,Available,Parking on private property,Flat roof covered with asphalt roofing,743,2008,https://www.funda.nl/en/koop/amsterdam/huis-42635815-zwanebloemlaan-51,,Roof terrace present,,,3,,,,,,,Detached wooden storage,,,,,Built-in,17 ,Located at the southeast,
1141,Available in consultation,350000,7143,Shower,Resale,F  ,4,"Outdoor awning, elevator and TV via cable",,Communal central heating and district heating,Central facility,,,"March 5, 2022",49,Unobstructed surrounding view,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,192,1967,https://www.funda.nl/en/koop/amsterdam/appartement-42620122-parnassusweg-192,Yes,Balcony present,Yes,,8,9 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 206  ,,,,
1142,Available in consultation,1850000,10947,Shower and toilet,Resale,Not required,,"Alarm installation, mechanical ventilation, flue and TV via cable",Back garden,"CH boiler, partial floor heating and complete floor heating",CH boiler,Partly double glazed,,3 ,169,"On navigable waterway, alongside water and in center",1 bathroom and 1 separate toilet,"4  ,1 ",2,,"Protected townscape or village view (permit needed for alterations), with carpets and curtains, listed building (national monument) and monumental building",Available,"Paid parking, public parking and resident's parking permits",,545,1740,https://www.funda.nl/en/koop/amsterdam/appartement-42602537-keizersgracht-254-a,Yes,,Yes,,,Grou ,Yes,Yes (€ 320.00 per month),,Yes,Yes,,Ground-floor apartment (apartment), 320.00  ,,,,1 ,,
1143,Available in consultation,395000,4072,Bath and shower,Resale,A  ,9,Sliding door and TV via cable,,CH boiler and partial floor heating,CH boiler,Double glazing and completely insulated,,4 ,97,In center and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",5,,,Sold under reservation,Public parking and resident's parking permits,Flat roof covered with asphalt roofing,320,2000,https://www.funda.nl/en/koop/amsterdam/appartement-42596934-slotermeerlaan-16-b,Yes,,Yes,"Intergas (gas-fired combination boiler from 2007, in ownership)",8,Grou ,Yes,Yes,,Yes,Yes,Storage box,Ground-floor apartment (apartment),,, 120  ,,,,
1144,Available immediately,290000,10000,Toilet,Resale,C  ,1,Electricity,,CH boiler,CH boiler,Double glazing,,"March 9, 2022",29,"Alongside busy road, in center, in residential district and unobstructed surrounding view",1 bathroom,"1  ,1 ",1,,,Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,98,1910,https://www.funda.nl/en/koop/amsterdam/appartement-42629325-cliffordstraat-44-1,Yes,French balcony present,Yes,"Intergas HR (gas-fired combination boiler, in ownership)",6,,No,Yes (€ 75.00 per month),,Yes,No,Built-in,Upstairs apartment (apartment), 75.00  ,,,,,,
1145,Available in consultation,395000,8061,Bath and shower,Resale,E  ,3,,Back garden,CH boiler,CH boiler,Partly double glazed,,"March 12, 2022",49,Sheltered location and in residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,Partly furnished with carpets and curtains,Available,"Paid parking, public parking and resident's parking permits",,175,1917,https://www.funda.nl/en/koop/amsterdam/appartement-42638349-transvaalstraat-60-h,Yes,,Yes,"Combination boiler, in ownership",,Grou ,Yes,Yes,,Yes,Yes,,Ground-floor apartment (apartment),,,,,,Located at the northwest,"31 m² (8 meter deep and 3,9 meter broad)"
1146,Available in consultation,559840,7776,,New,,8,"Optical fibre, elevator, mechanical ventilation and TV via cable",,District heating,District heating,Completely insulated,,4 ,72,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",,"3  ,2 ",1,,,Available,,,216,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42512441-stadsappartement-3-kamers-bouwnr-249-e2,,,,,,5 ,,,A ,,,,Galleried apartment (apartment),,Woningborg garantiecertificaat,,,,,
1147,Available in consultation,475000,6597,,Resale,A 1.33  ,9,Elevator,,District heating,District heating,Double glazing and completely insulated,,"March 1, 2022",72,Alongside water and unobstructed surrounding view,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Parking garage,,245,2008,https://www.funda.nl/en/koop/amsterdam/appartement-88089801-jan-van-zutphenstraat-211,Yes,Balcony present,Yes,,,1 ,Yes,Yes (€ 217.00 per month),,Yes,Yes,,Penthouse (apartment), 217.00  ,,,,3 ,,
1148,Available in consultation,300000,4286,Shower,Resale,B  ,5,"Elevator, mechanical ventilation and TV via cable",,Communal central heating,,Double glazing,,5 ,70,In residential district,1 bathroom and 1 separate toilet,"2  ,1 ",4,,Partly furnished with carpets and curtains,Sold under reservation,Paid parking,Flat roof,225,,https://www.funda.nl/en/koop/amsterdam/appartement-42690549-de-boelelaan-297,Yes,Balcony present,Yes,,2,1 ,Yes,Yes,,Yes,Yes,Storage box,Apartment with shared street entrance (service apartment),,,,,1 ,,
1149,Available in consultation,1950000,9750,Bath and toilet,Resale,Not required,45,Mechanical ventilation,,CH boiler,CH boiler,,,4 ,200,"Alongside a quiet road, in residential district and unobstructed surrounding view",2 bathrooms and 2 separate toilets,"6  ,4 ",2,,Listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",,706,1927,https://www.funda.nl/en/koop/amsterdam/appartement-42606964-minervalaan-20-2,No,Roof terrace present and balcony present,Yes,"Gas-fired combination boiler from 2013, in ownership",,2 ,No,No,,Yes,No,,Upstairs apartment (apartment),,,,,1 ,,
1150,Available in consultation,950000,6333,"Bath, shower and toilet",Resale,B  ,11,Electricity,,CH boiler and fireplace,CH boiler,Double glazing,,7 ,150,Alongside a quiet road and in residential district,2 bathrooms and 1 separate toilet,"6  ,5 ",2,,,Sold under reservation,Paid parking and resident's parking permits,Flat roof,505,1955,https://www.funda.nl/en/koop/amsterdam/appartement-42687523-evert-cornelisstraat-3-3,Yes,Balcony present,Yes,"Remeha (gas-fired from 2008, in ownership)",8,3 ,Yes,Yes (€ 181.80 per month),,Yes,Yes,Storage box,Mezzanine (apartment), 181.80  ,,,,,,
1151,Available in consultation,925000,8726,Shower and toilet,Resale,A  ,9,,,"Complete floor heating, heat recovery unit and heat pump",Central facility,,,"March 10, 2022",106,,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,"Paid parking, public parking, parking garage and resident's parking permits",,342,2017,https://www.funda.nl/en/koop/amsterdam/appartement-42636462-peter-schatstraat-71,Yes,Balcony present,Yes,,11,,Yes,Yes (€ 252.51 per month),,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 252.51  ,,,Parking place,,,
1152,Available in consultation,415000,7685,Toilet,Resale,C  ,,,Back garden,CH boiler,CH boiler,Double glazing,,3 ,54,Alongside a quiet road and alongside water,1 bathroom,"3  ,2 ",1,,,Sold under reservation,Paid parking and resident's parking permits,,232,1926,https://www.funda.nl/en/koop/amsterdam/appartement-42535577-admiralengracht-187-h,Yes,,Yes,"Intergas ( combination boiler from 2021, in ownership)",5,Grou ,Yes,Yes (€ 118.23 per month),,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 118.23  ,, 118  ,,13 ,Located at the west,"77 m² (11,63 meter deep and 7,03 meter broad)"
1153,Available in consultation,575000,5476,Bath,Resale,B  ,10,Electrical door,,CH boiler,CH boiler,Roof insulation and double glazing,,7 ,105,"Alongside a quiet road, on navigable waterway, alongside water, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",2,,,Sold under reservation,"Paid parking, parking on gated property, parking on private property, public parking, parking garage and resident's parking permits",Flat roof covered with asphalt roofing,322,1993,https://www.funda.nl/en/koop/amsterdam/appartement-42674914-knsm-laan-557,Yes,Balcony present,Yes,"Nefit HR Proline CW4 (gas-fired combination boiler from 2010, in ownership)",5,,Yes,Yes (€ 249.00 per month),,Yes,Yes,Built-in,Maisonnette (corridor apartment), 249.00  ,,,"Built-in, underground parking and parking place",,,
1154,Available in consultation,680000,8500,Bath,Resale,,1,,,CH boiler,CH boiler,,,5 ,80,,1 bathroom and 1 separate toilet,"5  ,3 ",1,,,Sold under reservation,,,286,1907,https://www.funda.nl/en/koop/amsterdam/appartement-42692304-brederodestraat-87-2,Yes,Balcony present and french balcony present,Yes,Combination boiler from 2017,,3 ,No,Yes (€ 114.47 per month),G ,Yes,Yes,,Upstairs apartment (apartment), 114.47  ,,,,,,
1155,Available in consultation,425000,5312,Shower and toilet,Resale,,,Electricity,Back garden and front garden,CH boiler,CH boiler,Completely insulated,"Single-family home, corner house",2 ,80,In residential district,1 bathroom and 1 separate toilet,"4  ,3 ",2,85,,Sold under reservation,,Flat roof covered with asphalt roofing,305,1954,https://www.funda.nl/en/koop/amsterdam/huis-42660802-coronelstraat-1,,,,2020 ( combination boiler),,,,,F ,,,Built-in,,,,,,6 ,Located at the south accessible via the rear,25 m² (5 meter deep and 5 meter broad)
1156,Available in consultation,549000,3978,"Steam cabin, bath, 2 showers and toilet",Resale,B  ,3,Electrical door and electricity,,CH boiler,CH boiler,No insulation,,3 ,138,"Alongside park, alongside a quiet road, alongside water, in residential district, freestanding location and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"6  ,5 ",2,,,Sold under reservation,Parking on gated property and parking garage,Gable roof covered with slate,530,1979,https://www.funda.nl/en/koop/amsterdam/appartement-42536159-liendenhof-16,Yes,Balcony present,Yes,"Remeha Calenta (gas-fired from 2016, in ownership)",14,4 ,Yes,Yes (€ 352.59 per month),,Yes,Yes,Detached brick storage,Penthouse (double upstairs apartment), 352.59  ,, 324  ,Parking place and detached brick garage,30 ,,
1157,Available in consultation,875000,6679,"Bath, shower and 2 toilets",Resale,A+  ,17,Electricity,Front garden,District heating and partial floor heating,District heating,No insulation,"Single-family home, row house (split-level residence)",4 ,131,"Alongside a quiet road, alongside water and in residential district",2 bathrooms and 1 separate toilet,"5  ,4 ",3,164,With carpets and curtains,Under offer,Parking on private property,Gable roof covered with roof tiles,550,2001,https://www.funda.nl/en/koop/amsterdam/huis-42605621-anfieldroad-61,,Balcony present,,,7,,,,,,,Detached wooden storage,,,,,Carport and parking place,,Located at the west,
1159,Available in consultation,1375000,8758,"Bath, shower and toilet",Resale,,,,Back garden,Communal central heating,CH boiler and central facility,Double glazing and partly double glazed,,"March 2, 2022",157,In residential district and freestanding location,1 bathroom and 1 separate toilet,"4  ,3 ",2,,,Available,Resident's parking permits,Flat roof covered with asphalt roofing,541,1928,https://www.funda.nl/en/koop/amsterdam/appartement-42625564-churchill-laan-221-hs,Yes,,Yes,,,Grou ,Yes,Yes (€ 206.00 per month),,Yes,Yes,Built-in,Ground-floor apartment (apartment), 206.00  ,,,,,Located at the southeast,20 m² (10 meter deep and 2 meter broad)
1160,Available in consultation,650000,6190,Toilet,Resale,E  ,,Passive ventilation system,,CH boiler,CH boiler,,,6 ,105,In center and in residential district,1 bathroom,"3  ,2 ",1,,,Available,"Paid parking, public parking and resident's parking permits",,256,1905,https://www.funda.nl/en/koop/amsterdam/appartement-42682316-akoleienstraat-8-iii,Yes,,Yes,"Kompact 22 HR (gas-fired combination boiler from 2015, in ownership)",,3 ,Yes,Yes,,Yes,Yes,,Mezzanine (apartment),,,,,,,
1161,Available on 5/23/2022,1950000,9420,Bath and toilet,Resale,A+  ,17,Elevator and mechanical ventilation,,CH boiler,CH boiler,Double glazing and completely insulated,,2 ,207,"Alongside a quiet road, on navigable waterway, alongside water, in center and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"5  ,4 ",1,,,Available,Paid parking and parking garage,Flat roof,716,2013,https://www.funda.nl/en/koop/amsterdam/appartement-88030765-ijdok-51,Yes,,Yes,"2015, in ownership",,1 ,Yes,Yes,,Yes,Yes,,Mezzanine (apartment),,,,,18 ,,
1162,Available in consultation,475000,7917,Shower,Resale,G  ,2,,,CH boiler,CH boiler,,,"March 1, 2022",60,In residential district,1 bathroom and 1 separate toilet,"4  ,2 ",1,,,Under offer,Resident's parking permits,,162,1931,https://www.funda.nl/en/koop/amsterdam/appartement-42614806-jasonstraat-31-3,Yes,Balcony present,Yes,"Combination boiler, to rent",,3 ,Yes,Yes (€ 100.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 100.00  ,,,,,,
1163,Available in consultation,200000,8333,Shower and toilet,Resale,A  ,,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Double glazing,,3 ,24,In residential district,1 bathroom,"1  ,1 ",1,,,Under offer,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,75,2000,https://www.funda.nl/en/koop/amsterdam/appartement-42604680-zeeburgerdijk-554-a,Yes,,Yes,"Intergas HR (gas-fired combination boiler from 2013, in ownership)",,Grou ,Yes,Yes (€ 115.00 per month),,Yes,Yes,,Ground-floor apartment (apartment), 115.00  ,,,,,,
1164,Available in consultation,2650000,10076,"Jacuzzi, 2 showers and toilet",Resale,C 1.34  ,,"Air conditioning, jacuzzi, elevator, mechanical ventilation and TV via cable",,Complete floor heating and heat recovery unit,Central facility,Completely insulated,,8 ,263,"Alongside a quiet road, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"4  ,2 ",1,,,Available,Parking garage,,765,2009,https://www.funda.nl/en/koop/amsterdam/appartement-88036461-gustav-mahlerplein-213,No,,No,,32,12 ,No,No,,No,No,Built-in,Penthouse,,,,Underground parking,,,
1165,Available in consultation,600000,5556,Shower,Resale,A  ,9,"Elevator, mechanical ventilation and TV via cable",Sun terrace,CH boiler,CH boiler,Double glazing and completely insulated,,3 ,108,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,318,1998,https://www.funda.nl/en/koop/amsterdam/appartement-42604149-sibogastraat-78,Yes,Roof terrace present and balcony present,Yes,"Remeha (gas-fired combination boiler from 2010, in ownership)",11,5 ,Yes,Yes (€ 177.97 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 177.97  ,,,,,,
