,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
682,No,290000,3625,Balcony present,Toilet,No,Resale property,"Vaillant (gas-fired combination boiler from 2014, in ownership)",A  ,7,Electricity,CH boiler,CH boiler,"Double glazing, energy efficient window and insulated walls",7 ,80,2 ,In residential district and unobstructed surrounding view,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,No,No,No,,Sold under reservation,Apartment with shared street entrance (apartment),Public parking,272,2001,,,,,,Parking place,5,,Storage box, 188.78  ,Flat roof,
683,Yes,245000,2917,Balcony present,Shower,Yes,Resale property,"HR (gas-fired combination boiler from 2019, in ownership)",E  ,5,"Skylight, mechanical ventilation, passive ventilation system and TV via cable",CH boiler,CH boiler,Double glazing,4 ,84,3 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes,Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),Public parking and resident's parking permits,282,1934,,,,,,,,,,,Flat roof covered with asphalt roofing,
684,Yes,530000,5824,Balcony present,Bath and shower,Yes,Resale property,"2010, in ownership",D  ,7,Electricity,CH boiler,CH boiler,Double glazing,3 ,91,2 ,"Alongside park, alongside a quiet road and in residential district",Yes,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 226.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Under offer,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",304,1955,,,,,1 ,,6,,Built-in, 226.00  ,,
685,Yes,310000,3780,Balcony present,Shower,Yes,Resale property,"2018, in ownership",A  ,5,"Elevator, mechanical ventilation and TV via cable",CH boiler,CH boiler,No insulation,4 ,82,1 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 111.00 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Public parking,247,2000,,,,,,Parking place,7,,Built-in, 111.00  ,Flat roof covered with asphalt roofing,
686,Yes,250000,3247,,Shower,Yes,Resale property,"Intergas (gas-fired combination boiler from 2019, in ownership)",A  ,,Mechanical ventilation and passive ventilation system,CH boiler,CH boiler,Double glazing and insulated walls,4 ,77,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes,Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",248,1985,,,,,,,6,,Storage box,,,
687,,598000,3858,,"Bath, shower and 2 toilets",,Resale property,,,,"Electricity, heating and running water",District heating,District heating,,"March 7, 2022",155,,In residential district,,2 bathrooms and 1 separate toilet,6 rooms (5 bedrooms),4,,,,,Available,,Public parking,530,2003,"69 m² (11 meter deep and 6,3 meter broad)",Back garden and front garden,Located at the southeast,"Single-family home, row house",6 ,,1,A ,Built-in,,Gable roof,151
688,,650000,5200,Roof terrace present and balcony present,Shower and toilet,,Resale property,"Remeha Avanta (gas-fired combination boiler from 2021, in ownership)",G  ,29,Skylight and TV via cable,CH boiler,CH boiler,"Roof insulation, partly double glazed and insulated walls",3 ,125,,Alongside water and in center,,1 bathroom and 2 separate toilets,5 rooms (3 bedrooms),3,,,,Protected townscape or village view (permit needed for alterations),Sold under reservation,,"Paid parking, parking garage and resident's parking permits",841,1850,,Sun terrace,Located at the south,"Property alongside canal, corner house",83 ,Built-in,,,,,Hipped roof covered with roof tiles,97
689,Yes,550000,5729,Balcony present,Shower and toilet,Yes,Resale property,"HR-107 ( combination boiler, in ownership)",A  ,10,Electricity,CH boiler,CH boiler,Double glazing and insulated walls,4 ,96,3 ,"In center, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),6,Yes (€ 244.48 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (apartment),"Paid parking, public parking and parking garage",311,2001,,Sun terrace,,,,,19,,Storage box, 244.48  ,,
690,,1095000,5856,Balcony present,Bath and shower,,Resale property,"Remeha ( combination boiler from 2015, in ownership)",C  ,10,"Alarm installation, outdoor awning, optical fibre, passive ventilation system, flue, TV via cable and solar panels",CH boiler,CH boiler,Roof insulation and double glazing,"March 10, 2022",187,,Alongside busy road and in residential district,,2 bathrooms and 3 separate toilets,5 rooms (4 bedrooms),3,,,,Protected townscape or village view (permit needed for alterations),Available,,"Paid parking, parking on private property and resident's parking permits",817,1937,"92 m² (8,67 meter deep and 10,58 meter broad)","Back garden, front garden and side garden",Located at the southwest accessible via the rear,"Desirable residence/villa, corner house",26 ,Detached brick garage,25,,,,Gable roof covered with roof tiles,340
691,Yes,398000,3586,Balcony present,,Yes,Resale property,,D  ,7,,Communal central heating,Electrical boiler,Double glazing,"March 4, 2022",111,2 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,5 rooms (1 bedroom),1,Yes (€ 252.82 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Parking on private property and public parking,366,1965,,,,,,,6,,Storage box, 252.82  ,Flat roof,
692,Yes,350000,4217,Balcony present,Bath and shower,Yes,Resale property,Vaillant (gas-fired from 2010),C  ,3,Elevator,CH boiler,CH boiler,Double glazing,"March 2, 2022",83,2 ,"Alongside park, sheltered location and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 231.00 per month),Yes,Yes,,Available,Mezzanine (apartment),,216,1954,,,,,,,5,,Built-in, 231.00  ,Flat roof,
693,Yes,925000,4579,Balcony present,Bath,Yes,Resale property,"Remeha (gas-fired combination boiler from 2020, in ownership)",B  ,3,,CH boiler,CH boiler,"Double glazing, energy efficient window and insulated walls",2 ,202,Grou ,Alongside busy road,Yes,1 bathroom and 2 separate toilets,5 rooms (3 bedrooms),2,Yes (€ 156.75 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Sold under reservation,Ground-floor apartment (bel-etage (main floor)),"Paid parking, public parking and resident's parking permits",721,1894,74 m² (13 meter deep and 7 meter broad),Back garden,Located at the northeast,,,,,,, 156.75  ,Combination roof,
695,Yes,1012350,5012,,,Yes,New property,,,,"Balanced ventilation system, elevator and TV via cable",Heat pump,Electrical boiler,Completely insulated,2 ,202,,In residential district and unobstructed surrounding view,Yes,,4 rooms,1,Yes (€ 290.00 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Parking garage,726,2021,,Sun terrace,Located at the east,,,Built-in,,,, 290.00  ,Flat roof covered with asphalt roofing,
696,Yes,275000,2331,Balcony present,"Bath, 2 showers and toilet",Yes,Resale property,"Nefit (gas-fired combination boiler from 1995, in ownership)",C  ,9,TV via cable,CH boiler,CH boiler,No insulation,6+ ,118,4 ,"Alongside a quiet road, alongside water and in residential district",No,2 bathrooms and 1 separate toilet,4 rooms (3 bedrooms),2,Yes (€ 100.00 per month),Yes,Yes,With carpets and curtains,Sold under reservation,Residential property with shared street entrance (double upstairs apartment),"Paid parking, public parking and resident's parking permits",425,1952,,,,,,,7,,Storage box, 100.00  ,Gable roof covered with roof tiles,
697,,859000,4360,,,,Resale property,"Gas-fired combination boiler from 2014, in ownership",C  ,21,,CH boiler,CH boiler,Double glazing,2 ,197,,,,,7 rooms (5 bedrooms),3,,,,,Available,,,785,1898,"82 m² (13 meter deep and 6,3 meter broad)",Back garden,,"Desirable residence/villa, row house",,,8,,,,,126
698,Yes,265000,3193,Balcony present,Bath and shower,Yes,Resale property,"Itho (gas-fired combination boiler from 2015, in ownership)",E  ,2,,CH boiler,CH boiler,,2 ,83,3 ,In residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 84.00 per month),Yes,Yes,,Sold under reservation,Residential property with shared street entrance (open shared street entrancet),"Paid parking, public parking and resident's parking permits",283,1940,,,,,,,2,,Storage box, 84.00  ,Flat roof covered with asphalt roofing,
699,Yes,400000,2963,Balcony present,Shower,Yes,Resale property,"Intergas (gas-fired combination boiler from 2020, in ownership)",B  ,9,TV via cable,CH boiler,CH boiler,Double glazing,"March 8, 2022",135,2 ,In residential district,Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),1,Yes (€ 100.00 per month),Yes,No,,Available,Apartment with shared street entrance (apartment),"Paid parking, public parking and resident's parking permits",461,1938,,,,,,,,,Built-in, 100.00  ,Combination roof,
700,Yes,250000,2976,Balcony present,Shower and toilet,Yes,Resale property,,E 2.14  ,,,Communal central heating,,Double glazing,7 ,84,2 ,,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),2,Yes,Yes,Yes,,Available,Maisonnette (apartment),,290,1957,,,,,,,7,,,,Flat roof covered with asphalt roofing,
701,,365000,2967,,,,Resale property,,,,Electricity,,,,"March 2, 2022",123,,,,,5 rooms (3 bedrooms),1,,,,,Available,,,412,1930,,Side garden,Located at the southwest,"Single-family home, corner house",,Attached brick garage,15,G ,,,,111
702,,450000,4286,,"Bath, shower and toilet",,Resale property,"Intergas (gas-fired combination boiler, in ownership)",A  ,,Electricity,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",3 ,105,,,,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),3,,,,Partly furnished with carpets and curtains,Available,,Public parking,327,2010,"61 m² (11 meter deep and 5,5 meter broad)",Back garden and front garden,Located at the southwest accessible via the rear,"Single-family home, row house",,,6,,Detached wooden storage,,Gable roof covered with roof tiles,118
703,Yes,550000,4622,,Bath and shower,Yes,Resale property,"Remeha Avanta HR (gas-fired combination boiler from 2013, in ownership)",C  ,,Passive ventilation system,CH boiler,CH boiler,,0,119,Grou ,,No,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),2,Yes (€ 162.50 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Ground-floor apartment (apartment),Public parking,478,1886,"27 m² (7,92 meter deep and 3,35 meter broad)",Back garden,Located at the northeast,,,,,,, 162.50  ,Combination roof,
704,,439500,4069,,,,Resale property,,C  ,,Sliding door,CH boiler,CH boiler,Energy efficient window,"March 14, 2022",108,,In residential district,,2 separate toilets,5 rooms (4 bedrooms),3,,,,,Available,,Public parking,335,1995,32 m² (7 meter deep and 5 meter broad),Back garden and patio/atrium,Located at the east accessible via the rear,"Single-family home, row house",32 ,,,,,,Flat roof covered with asphalt roofing,102
705,Yes,349500,3603,Balcony present,,Yes,Resale property,"Gas-fired combination boiler, in ownership",,6,Passive ventilation system and TV via cable,CH boiler,CH boiler,Double glazing,"March 11, 2022",97,3 ,"Alongside a quiet road, sheltered location and in residential district",No,1 bathroom,5 rooms (3 bedrooms),1,Yes (€ 100.00 per month),No,Yes,,Available,Upstairs apartment (apartment),"Paid parking, parking on gated property, public parking and resident's parking permits",332,1927,,,,,1 ,,,G ,, 100.00  ,Flat roof covered with asphalt roofing,
706,Yes,499000,5309,,,No,Resale property,"Remeha Tzerra CW4 (gas-fired combination boiler from 2016, in ownership)",C  ,,Electricity,CH boiler,CH boiler,Partly double glazed,2 ,94,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),1,Yes (€ 50.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Available,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",320,1936,"120 m² (16,3 meter deep and 7,6 meter broad)",Back garden,Located at the northwest,,,,6,,Detached wooden storage, 50.00  ,Flat roof covered with asphalt roofing,
707,,550000,3957,,,,Resale property,,A  ,11,Mechanical ventilation,CH boiler,CH boiler,Energy efficient window and completely insulated,2 ,139,,In center and in residential district,,,5 rooms (3 bedrooms),4,,,,,Available,,,478,2005,,,,"Single-family home, row house",13 ,"Garage, built-in and parking place",,,,,Flat roof,
708,,975000,4412,Balcony present,"Bath, 2 showers and toilet",,Resale property,"Gas-fired combination boiler from 2019, in ownership",E  ,6,TV via cable,CH boiler,CH boiler,Double glazing,"March 11, 2022",221,,Alongside a quiet road and in residential district,,2 bathrooms and 2 separate toilets,8 rooms (6 bedrooms),3,,,,,Available,,"Paid parking, public parking and resident's parking permits",832,1917,"55 m² (10,96 meter deep and 5,69 meter broad)",Back garden and front garden,Located at the southwest,"Desirable residence/villa, row house",,,,,,,Gable roof covered with roof tiles,163
709,Yes,395000,3185,Balcony present,,Yes,Resale property,"Remeha (gas-fired combination boiler from 2010, in ownership)",B  ,8,Electricity,CH boiler and gas heater,CH boiler,Partly double glazed,4 ,124,1 ,In residential district,No,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,,Sold under reservation,Residential property with shared street entrance (apartment),Resident's parking permits,455,1936,,,,,,,,,Built-in, 100.00  ,Combination roof covered with asphalt roofing and roof tiles,
710,,450000,3409,,Shower and toilet,,Resale property,"Remeha (gas-fired combination boiler from 2016, in ownership)",A  ,,Electricity,CH boiler,CH boiler,Completely insulated,5 ,132,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Sold under reservation,,Public parking,463,1998,"55 m² (10,2 meter deep and 5,4 meter broad)",Back garden and front garden,Located at the southeast accessible via the rear,"Single-family home, row house",,,8,,Detached wooden storage,,,130
711,,595000,4685,,Toilet,,New property,,,,Mechanical ventilation,,,Double glazing,2 ,127,,"Alongside park, alongside a quiet road, sheltered location and in residential district",,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),2,,,,,Under option,,,316,2020,,,,"Single-family home, row house",11 ,Underground parking,,,,,,
712,Yes,1070000,7279,Balcony present,Bath and 2 toilets,Yes,New property,,,21,Electrical door,"Complete floor heating, heat recovery unit and heat pump",Electrical boiler,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",6+ ,147,2 ,"On the edge of a forest, alongside park, alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",Yes,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment),Parking garage,500,2022,,,,,,"Built-in, underground parking and parking place",7,,Storage box,,Combination roof,
713,Yes,595000,4375,Balcony present,"Bath, shower and toilet",Yes,Resale property,"Nefit (gas-fired combination boiler from 2016, in ownership)",B  ,25,Electricity,CH boiler,CH boiler,Double glazing,4 ,136,Grou ,Sheltered location and in center,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 241.49 per month),Yes,Yes,Listed building (national monument),Sold under reservation,Ground-floor apartment,"Paid parking, parking garage and resident's parking permits",439,1997,,Sun terrace,,,,Parking place,21,,Storage box, 241.49  ,Flat roof,
714,Yes,249500,3240,Balcony present,Shower,Yes,Resale property,,F  ,6,"Air conditioning, outdoor awning, elevator, mechanical ventilation and TV via cable",Communal central heating,Central facility,Double glazing and secondary glazing,6 ,77,5 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),5,Yes (€ 65.00 per month),Yes,Yes,,Under offer,Galleried apartment (service apartment),Public parking,231,1997,,,,,,,4,,Storage box, 65.00  ,Flat roof covered with asphalt roofing,
715,Yes,259500,4553,,Bath and shower,Yes,Resale property,,D  ,,Electricity,CH boiler,Gas-fired boiler,Double glazing,5 ,57,11 ,"Alongside park, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 134.70 per month),Yes,Yes,,Under offer,Penthouse (apartment),Parking on private property and public parking,193,1978,,,,,,,5,,Built-in, 134.70  ,Flat roof,
716,,400000,3125,,Toilet,,Resale property,"Remeha (gas-fired combination boiler from 2011, in ownership)",,,Electricity,CH boiler and partial floor heating,CH boiler,Double glazing and completely insulated,2 ,128,,"Alongside a quiet road, in residential district and unobstructed surrounding view",,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),3,,,,With carpets and curtains,Under offer,,"Paid parking, public parking and resident's parking permits",433,1998,"45 m² (0,09 meter deep and 0,05 meter broad)",Back garden and front garden,Located at the northwest accessible via the rear,"Single-family home, row house",,,3,B ,Detached brick storage,,Flat roof covered with asphalt roofing,110
717,,725000,4531,Balcony present,"Bath, 2 showers and toilet",,Resale property,"Intergas HR (gas-fired combination boiler from 2018, in ownership)",B  ,5,"Electrical door, electricity, heating and running water",CH boiler and fireplace,CH boiler,"Roof insulation, mostly double glazed, insulated walls and floor insulation",3 ,160,,Alongside a quiet road and in residential district,,2 bathrooms and 1 separate toilet,7 rooms (5 bedrooms),5,,,,,Sold under reservation,,Parking on private property and public parking,670,1970,"82 m² (10,95 meter deep and 7,45 meter broad)",Back garden and front garden,Located at the southwest,"Single-family home, row house",35 ,Built-in,,,,,Gable roof,228
718,Yes,599000,5120,Balcony present,Toilet,Yes,Resale property,"Intergas Extreme (gas-fired combination boiler from 2019, in ownership)",A  ,8,Electricity,CH boiler,CH boiler,Completely insulated,8 ,117,9 ,"Alongside water, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 179.25 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Apartment with shared street entrance (apartment),Parking garage,380,2019,,,,,,,17,,Storage box, 179.25  ,Flat roof covered with asphalt roofing,
719,Yes,277000,4695,Balcony present,,Yes,Resale property,,D  ,8,TV via cable,Communal central heating,Central facility,,8 ,59,3 ,In center,Yes,1 separate toilet,2 rooms (1 bedroom),6,Yes,Yes,Yes,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Sold under reservation,Galleried apartment (apartment),Public parking and resident's parking permits,177,1978,,,,,2 ,,1,,Built-in,,Flat roof,
720,,475000,4060,,Bath,,Resale property,,A++ 0.45  ,,Electricity,"Complete floor heating, heat recovery unit and heat pump",Geothermal heating and electrical boiler (rental),"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",4 ,117,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),3,,,,,Under offer,,Parking on gated property and public parking,419,2009,"47 m² (9 meter deep and 5,25 meter broad)",Back garden,Located at the southwest accessible via the rear,"Single-family home, row house",,Parking place,7,,Detached wooden storage,,Gable roof,129
721,Yes,269000,3362,Balcony present,Shower,Yes,Resale property,"2019, in ownership",,3,TV via cable,CH boiler,CH boiler,Double glazing,"March 9, 2022",80,3 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 30.00 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Paid parking and resident's parking permits,280,1928,,,,,,,1,G ,, 30.00  ,Flat roof covered with asphalt roofing,
723,,400000,3670,,"Bath, shower and toilet",,Resale property,"Intergas HReco (gas-fired combination boiler from 2015, in ownership)",A  ,,Electricity,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation","March 3, 2022",109,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),3,,,,Partly furnished with carpets and curtains,Available,,Public parking,364,2002,"46 m² (9,8 meter deep and 4,7 meter broad)",Back garden and front garden,Located at the north accessible via the rear,"Single-family home, row house",,,7,,Detached wooden storage,,Gable roof covered with roof tiles,112
724,,739000,4347,,Shower and toilet,,Resale property,"Remeha (gas-fired combination boiler from 2014, in ownership)",A  ,,Electricity,"CH boiler, partial floor heating and heat recovery unit",CH boiler,Double glazing and completely insulated,0,170,,"Alongside a quiet road, alongside water, sheltered location and in residential district",,1 bathroom,5 rooms (4 bedrooms),3,,,,With carpets and curtains,Available,,Parking on private property and public parking,590,2000,,Front garden and sun terrace,Located at the southeast accessible via the rear,"Desirable residence/villa, corner house (residential property on water)",,,12,,Detached brick storage,,Flat roof covered with asphalt roofing,233
725,,700000,3382,,Bath and shower,,Resale property,"2018, in ownership",B  ,9,"Flue, sliding door and TV via cable",CH boiler,CH boiler,No insulation,7 ,207,,"Alongside park, alongside a quiet road and in residential district",,1 bathroom and 2 separate toilets,8 rooms (5 bedrooms),2,,,,,Sold under reservation,,Public parking,658,1972,"101 m² (15,3 meter deep and 6,6 meter broad)",Back garden and front garden,Located at the southeast,"Single-family home, row house",,,5,,Detached wooden storage,,Flat roof covered with asphalt roofing,228
726,,511000,4913,Balcony present,Shower,,New property,,,,Elevator and mechanical ventilation,District heating,District heating,Completely insulated,3 ,104,,In residential district,,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,,,,,Available,Upstairs apartment (apartment),Paid parking and public parking,291,2024,,,,,,,,A ,,,,
727,Yes,349500,6594,,,Yes,Resale property,"Kospel (electrical combination boiler from 2021, in ownership)",C  ,10,,CH boiler,CH boiler,,7 ,53,Grou ,,No,,3 rooms (1 bedroom),1,Yes,Yes,Yes,,Available,Ground-floor apartment (apartment),Paid parking and public parking,182,1900,"27 m² (4,97 meter deep and 5,4 meter broad)",Back garden,Located at the southeast,,,,,,,,,
728,,459000,3672,Roof terrace present,,,Resale property,Gas-fired,,25,,CH boiler,CH boiler,Double glazing,"March 3, 2022",125,,In residential district,,1 separate toilet,5 rooms (4 bedrooms),3,,,,,Available,,,344,2005,40 m² (8 meter deep and 5 meter broad),Back garden,,"Single-family home, row house",,,,A ,,,,115
729,,975000,5417,Roof terrace present,"Bath, shower and toilet",,New property,,,15,,,,Double glazing,6+ ,180,7 ,"Alongside a quiet road, sheltered location and in residential district",,2 bathrooms,3 rooms (2 bedrooms),1,,,,,Under option,Penthouse (apartment),,506,2021,,,,,,Underground parking,,A ,,,,
730,Yes,595000,3673,,,Yes,Resale property,"Rmeha (gas-fired combination boiler from 2021, in ownership)",A  ,16,Mechanical ventilation and TV via cable,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","March 5, 2022",162,1 ,"Alongside busy road, alongside water and in residential district",No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,,Available,Residential property with shared street entrance (apartment),"Paid parking, public parking and resident's parking permits",570,,,Patio/atrium,Located at the west,,,,,,, 75.00  ,Flat roof covered with asphalt roofing,
731,Yes,249500,2970,Balcony present,Bath,Yes,Resale property,"Bosch VR (gas-fired combination boiler from 2006, in ownership)",F  ,,,CH boiler,CH boiler,Double glazing,2 ,84,3 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 50.00 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",225,1939,,,,,,,,,, 50.00  ,Flat roof covered with asphalt roofing,
732,Yes,1325000,6495,,"Bath, 2 showers and toilet",Yes,Resale property,,A  ,9,"Skylight, elevator and mechanical ventilation",CH boiler and complete floor heating,CH boiler,,6+ ,204,,,Yes,2 bathrooms and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 195.88 per month),Yes,No,Listed building (national monument),Sold under reservation,Penthouse,,975,2020,,Front garden,,,12 ,Carport,5,,Built-in, 195.88  ,Gable roof covered with roof tiles,
733,Yes,359000,4126,Balcony present and french balcony present,,Yes,Resale property,,,4,Electricity,District heating,Central facility,Double glazing,0,87,4 ,"Alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",Yes,1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 189.00 per month),Yes,Yes,With carpets and curtains,Available,Apartment with shared street entrance (apartment),Public parking,275,2003,,,,,,Parking place,18,B ,Storage box, 189.00  ,Flat roof covered with asphalt roofing,
734,Yes,250000,3333,Balcony present,,Yes,Resale property,"Intergas hre ( combination boiler from 2021, in ownership)",,,,CH boiler,CH boiler,Partly double glazed,2 ,75,2 ,,No,,4 rooms (3 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,,Under offer,Residential property with shared street entrance (apartment),Paid parking and resident's parking permits,256,1928,,,,,,,,G ,, 100.00  ,Flat roof covered with asphalt roofing,
735,,600000,3333,Balcony present,"Bath, 2 showers and 2 toilets",,Resale property,Gas-fired,,24,"Skylight, mechanical ventilation and flue",CH boiler,CH boiler,Completely insulated,4 ,180,,,,2 bathrooms and 1 separate toilet,6 rooms (3 bedrooms),2,,,,,Available,,Public parking and resident's parking permits,330,2003,,Sun terrace,,"Houseboat, detached residential property (residential property on water)",,,5,,Detached wooden storage,,,
736,,1400000,3684,Balcony present and french balcony present,Bath and 2 showers,,Resale property,"Bosh (gas-fired combination boiler, in ownership)",E  ,23,"Alarm installation, outdoor awning, jacuzzi, TV via cable, solar collectors and solar panels",CH boiler and heat pump,Electrical boiler and solar collectors,Double glazing,6+ ,380,,In residential district,,2 bathrooms and 3 separate toilets,11 rooms (9 bedrooms),3,,,,Double occupancy possible,Available,,"Paid parking, public parking and resident's parking permits",1520,1917,"84 m² (10,5 meter deep and 8 meter broad)",Back garden,Located at the southeast,"Desirable residence/villa, row house",14 ,,5,,,,,251
737,Yes,395000,4115,Balcony present,,Yes,Resale property,Combination boiler,C  ,11,Outdoor awning,CH boiler,CH boiler,Double glazing,2 ,96,2 ,Alongside a quiet road and in residential district,Yes,1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 104.00 per month),Yes,Yes,,Available,Residential property with shared street entrance (apartment),Public parking,200,1955,,,,,1 ,,9,,, 104.00  ,,
738,Yes,449000,5684,Balcony present,,Yes,Resale property,"Gas-fired, in ownership",A  ,,,CH boiler,CH boiler,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",6 ,79,1 ,"Alongside park, alongside a quiet road and in residential district",Yes,1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,With carpets and curtains,Available,Upstairs apartment (apartment),,220,1955,,,,,,,,,Attached brick storage, 100.00  ,,
739,Yes,445000,4495,Balcony present,Bath and toilet,Yes,Resale property,,A  ,8,Mechanical ventilation and TV via cable,,,"Roof insulation, double glazing, energy efficient window and floor insulation","March 4, 2022",99,2 ,"Alongside busy road, in residential district and unobstructed surrounding view",No,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 145.15 per month),Yes,Yes,,Available,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",334,1926,,,,,,,6,,Storage box, 145.15  ,Flat roof covered with asphalt roofing,
740,Yes,450000,3237,Balcony present,Bath and toilet,Yes,Resale property,"Remeha Tzerra HR (gas-fired combination boiler from 2015, in ownership)",D  ,8,"Outdoor awning, passive ventilation system, flue and TV via cable",CH boiler,CH boiler,Double glazing,2 ,139,3 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,6 rooms (4 bedrooms),2,Yes (€ 200.00 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (double upstairs apartment),"Paid parking, public parking and resident's parking permits",488,1957,,,,,,,13,,Storage box, 200.00  ,Hip roof covered with roof tiles,
741,No,275000,5000,,,No,Resale property,,,,,,,,3 ,55,Grou ,In center,No,,3 rooms (2 bedrooms),1,No,No,No,,Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,200,1859,,Back garden,,,,,,G ,,,,
